City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
albany,42.6,-73.97,77.0,53,2,4.74,US,1596290455
bluff,-46.6,168.33,52.34,81,100,11.48,NZ,1596290456
mount gambier,-37.83,140.77,51.8,87,90,8.05,AU,1596290456
rikitea,-23.12,-134.97,73.22,81,100,5.91,PF,1596290456
antofagasta,-23.65,-70.4,57.2,67,20,5.82,CL,1596290412
castro,-24.79,-50.01,59.68,69,75,4.27,BR,1596290456
jamestown,42.1,-79.24,73.99,77,75,3.36,US,1596290457
kaitangata,-46.28,169.85,52.0,63,31,3.0,NZ,1596290457
qinhuangdao,39.93,119.59,77.54,84,3,5.91,CN,1596290457
qaanaaq,77.48,-69.36,39.09,70,54,6.73,GL,1596290458
kushiro,42.98,144.37,65.19,95,49,5.82,JP,1596290458
kaya,13.09,-1.08,89.37,51,36,13.22,BF,1596290458
gelemso,8.82,40.52,67.05,78,92,4.25,ET,1596290395
atuona,-9.8,-139.03,78.76,76,42,17.76,PF,1596290459
punta arenas,-53.15,-70.92,35.6,93,40,5.82,CL,1596290459
thompson,55.74,-97.86,53.6,100,20,3.36,CA,1596290433
saint-leu,-21.15,55.28,71.6,73,90,19.46,RE,1596290459
avarua,-21.21,-159.78,68.0,64,59,4.7,CK,1596290460
airai,-8.93,125.41,53.69,100,4,3.89,TL,1596290460
georgetown,5.41,100.34,84.2,74,20,0.67,MY,1596290460
vaini,-21.2,-175.2,66.2,93,40,6.93,TO,1596290460
cherskiy,68.75,161.3,41.14,86,84,9.17,RU,1596290461
indramayu,-6.33,108.32,79.59,76,4,7.34,ID,1596290461
mataura,-46.19,168.86,49.98,82,99,4.12,NZ,1596290461
sabha,27.04,14.43,102.97,12,0,10.67,LY,1596290462
pisco,-13.7,-76.22,60.8,82,90,5.82,PE,1596290462
rawson,-43.3,-65.1,51.8,54,100,25.12,AR,1596290264
port blair,11.67,92.75,81.91,81,100,24.23,IN,1596290462
namibe,-15.2,12.15,74.26,60,0,11.48,AO,1596290462
nome,64.5,-165.41,53.6,87,90,5.82,US,1596290463
sisimiut,66.94,-53.67,46.94,89,100,5.32,GL,1596290463
gari,59.43,62.35,71.83,58,88,6.55,RU,1596290463
goundam,16.41,-3.67,99.21,37,0,20.45,ML,1596290464
hermanus,-34.42,19.23,64.99,67,0,1.99,ZA,1596290464
chuy,-33.7,-53.46,56.68,73,38,3.38,UY,1596290464
samarai,-10.62,150.67,75.83,71,30,12.77,PG,1596290464
hambantota,6.12,81.12,82.4,88,40,9.17,LK,1596290465
karratha,-20.74,116.85,70.75,34,0,3.49,AU,1596290205
nabire,-3.37,135.48,76.19,88,94,3.85,ID,1596290465
cape town,-33.93,18.42,68.0,45,0,5.82,ZA,1596290465
amapa,1.0,-52.0,83.44,76,48,4.23,BR,1596290466
oistins,13.07,-59.53,87.8,70,40,11.41,BB,1596290303
orbetello,42.44,11.22,96.8,28,0,18.34,IT,1596290466
